parameter-bott,parameter-cbbotr,parameter-cbheight,parameter-cbotr,parameter-cbtopr,parameter-cheight,parameter-ctopr,parameter-pitch,parameter-silvert,parameter-topt,value-EMI_SE,value_stddev-EMI_SE,value-Transmission,value_stddev-Transmission,failed,created,id
95.71814755,43.35450485,216.598869,60.87431654,131.4673364,167.2521088,34.54170877,327.7724416,5.402554173,78.74821871,37.1771,,0.593626,,FALSE,1650091910,34578380
57.19279354,68.33847124,146.4392123,123.2181419,92.99037886,660.1437538,110.0764902,384.4520822,13.98726911,43.50095559,44.4677,,0.563125,,FALSE,1650091759,34578321
48.75924159,66.32055718,946.5686991,165.2019643,79.99453067,490.872671,78.27434368,338.6460173,3.293220288,71.43197053,33.7152,,0.809385,,FALSE,1650091656,34578315
76.37806731,7.885207027,79.40689662,91.34712785,108.1144173,282.7594842,31.22227367,343.2683496,15.50712997,77.86185067,45.621,,0.347069,,FALSE,1650091610,34578306
42.93396509,13.04180944,608.3501929,165.8865075,168.164578,12.59929955,49.9410495,362.3204321,14.77456704,71.68071554,45.0635,,0.432465,,FALSE,1650091457,34578260
79.71840454,68.8345237,994.0456842,69.55896249,140.5920031,184.7855468,29.35700843,343.9943311,1.460659606,36.73382296,27.8719,,0.836234,,FALSE,1650091417,34578251
57.80714113,27.61087608,706.4157946,61.86386223,65.6197766,173.7810386,57.48635856,350.4101878,2.152629765,76.12273807,31.2759,,0.848332,,FALSE,1650091319,34578240
16.6643858,31.66556785,818.990121,43.63095206,140.0249237,360.2988475,34.04666908,376.7623104,13.51018818,98.21884822,44.4677,,0.361363,,FALSE,1650091186,34578216
12.06056438,55.04166168,21.47973142,187.3616643,140.0438195,403.4573725,95.65993927,383.3801491,5.945285703,76.73246536,37.1771,,0.527651,,FALSE,1650091094,34578201
99.52727028,41.73569158,571.7446735,126.7294496,176.7066146,44.48007751,31.35789514,398.5342006,3.526044788,47.23430847,33.7152,,0.595011,,FALSE,1650091049,34578193
7.34414432,6.859682371,637.5180058,137.7146184,87.96992193,170.9798345,98.36386259,327.0958134,5.925535138,9.003467017,37.1771,,0.592986,,FALSE,1650090975,34578175
9.112609701,44.26257646,550.1291452,144.7650617,118.9795672,238.1139916,98.64751934,381.6648673,18.08944594,47.5251743,47.1065,,0.266041,,FALSE,1650090922,34578165
37.87745764,62.24505685,490.1850934,77.25237126,67.27711406,429.1347436,44.24953455,257.4858344,12.02574327,19.24683666,43.828,,0.706864,,FALSE,1650090842,34578151
59.3779793,39.33213068,917.928568,7.193135864,99.7667812,427.6009025,3.226753772,209.940475,17.18304198,5.413960212,46.639,,0.418022,,FALSE,1650090756,34578128
